id,coverage,f275w_use,f336w_use,f435w_use,f475w_use,f606w_use,f625w_use,f814w_use,f105w_use,f110w_use,f125w_use,f140w_use,f160w_use
5010,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5069,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5168,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5177,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5178,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5319,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6080,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
20001,,,,,,,,,,,,,
20004,,,,,,,,,,,,,
20007,,,,,,,,,,,,,
20020,,,,,,,,,,,,,
20021,,,,,,,,,,,,,
20023,,,,,,,,,,,,,
20024,,,,,,,,,,,,,
20027,,,,,,,,,,,,,
20031,,,,,,,,,,,,,
20034,,,,,,,,,,,,,
20042,,,,,,,,,,,,,
20043,,,,,,,,,,,,,
20044,,,,,,,,,,,,,
20045,,,,,,,,,,,,,
20046,,,,,,,,,,,,,
20051,,,,,,,,,,,,,
20053,,,,,,,,,,,,,
20055,,,,,,,,,,,,,
20058,,,,,,,,,,,,,
20061,,,,,,,,,,,,,
20062,,,,,,,,,,,,,
