id,coverage,f275w_use,f336w_use,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
5934,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5984,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6110,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6486,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6509,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6646,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6727,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6812,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6813,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6824,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6859,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6861,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6938,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6966,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7059,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7381,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
7427,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7497,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7750,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
20001,,,,,,,,,,
20002,,,,,,,,,,
20003,,,,,,,,,,
20004,,,,,,,,,,
20005,,,,,,,,,,
20006,,,,,,,,,,
20007,,,,,,,,,,
20008,,,,,,,,,,
20009,,,,,,,,,,
20010,,,,,,,,,,
20011,,,,,,,,,,
20012,,,,,,,,,,
20013,,,,,,,,,,
20014,,,,,,,,,,
20015,,,,,,,,,,
20016,,,,,,,,,,
20017,,,,,,,,,,
20018,,,,,,,,,,
20019,,,,,,,,,,
20020,,,,,,,,,,
20021,,,,,,,,,,
20022,,,,,,,,,,
20023,,,,,,,,,,
20024,,,,,,,,,,
20025,,,,,,,,,,
20026,,,,,,,,,,
20027,,,,,,,,,,
20028,,,,,,,,,,
20029,,,,,,,,,,
20030,,,,,,,,,,
20031,,,,,,,,,,
20032,,,,,,,,,,
20033,,,,,,,,,,
20034,,,,,,,,,,
20035,,,,,,,,,,
20036,,,,,,,,,,
20037,,,,,,,,,,
20038,,,,,,,,,,
20039,,,,,,,,,,
20040,,,,,,,,,,
20041,,,,,,,,,,
20042,,,,,,,,,,
20043,,,,,,,,,,
20044,,,,,,,,,,
20045,,,,,,,,,,
