id,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
2992,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3418,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20001,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20002,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20003,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20004,fair,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
