id,pop,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
4552,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4571,SF,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4623,SF,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4648,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4669,Q,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4717,Q,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4803,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4823,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4825,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4844,SF,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4846,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4850,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4852,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4871,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5101,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5126,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5193,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5322,SF,poor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5396,SF,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
5578,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5645,SF,fair,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
20001,SF,,,,,,,,
20002,Q,,,,,,,,
20003,SF,,,,,,,,
20004,Q,,,,,,,,
20007,SF,,,,,,,,
