id,pop,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
657,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
899,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
913,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1090,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1141,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1159,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1206,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1257,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1287,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1340,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1545,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1611,Q,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2026,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2184,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2190,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2199,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2282,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2510,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2648,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2661,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2667,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2954,Q,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3097,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3301,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3631,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3794,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3859,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3945,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3949,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4010,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4032,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4040,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4314,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4386,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4725,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5114,SF,fair,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
5196,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5208,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5220,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5228,Q,fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5230,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5277,SF,fair,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
5303,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5375,SF,ideal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5385,SF,ideal,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
5387,SF,fair,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
20005,SF,,,,,,,,
20006,SF,,,,,,,,
20010,SF,,,,,,,,
20011,SF,,,,,,,,
20014,SF,,,,,,,,
